0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:21 +0530] "GET /E-Society/member-view-notice.jsp HTTP/1.1" 200 12471
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:30 +0530] "GET /E-Society/member-profile.jsp HTTP/1.1" 200 13697
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:33 +0530] "GET /E-Society/member-change-password.jsp HTTP/1.1" 200 12372
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:36 +0530] "GET /E-Society/member-view-complaint.jsp HTTP/1.1" 200 11731
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:37 +0530] "GET /E-Society/member-book-hall.jsp HTTP/1.1" 200 12487
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:40 +0530] "GET /E-Society/member-hall-booking-list.jsp HTTP/1.1" 200 12763
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:46 +0530] "GET /E-Society/member-logout.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:46 +0530] "GET /E-Society/index.jsp HTTP/1.1" 200 15529
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:48 +0530] "GET /E-Society/admin-login.jsp HTTP/1.1" 200 5749
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/css/owl.carousel.css HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/css/font-awesome.css HTTP/1.1" 200 29062
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/css/custom.css HTTP/1.1" 200 1771
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/metisMenu.min.js HTTP/1.1" 200 1879
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/Chart.js HTTP/1.1" 200 109612
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/jquery-1.11.1.min.js HTTP/1.1" 200 95786
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/css/SidebarNav.min.css HTTP/1.1" 200 1861
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/css/bootstrap.css HTTP/1.1" 200 141598
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/classie.js HTTP/1.1" 200 1656
0:0:0:0:0:0:0:1 - - [29/Apr/2023:22:55:49 +0530] "GET /E-Society/admin/assets/js/pie-chart.js HTTP/1.1" 200 5529
