0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/admin/assets/css/owl.carousel.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/js/scripts.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/js/jquery.nicescroll.js HTTP/1.1" 404 792
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/js/classie.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/js/SidebarNav.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/js/SimpleChart.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/images/2.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:17 +0530] "GET /E-Society/js/bootstrap.js HTTP/1.1" 404 784
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:18 +0530] "GET /E-Society/admin/assets/js/Chart.bundle.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:18 +0530] "GET /E-Society/admin/assets/js/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:18 +0530] "GET /E-Society/admin/assets/fonts/fontawesome-webfont.woff2?v=4.6.3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:34 +0530] "GET /E-Society/admin-view-hall-payment.jsp HTTP/1.1" 200 11772
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:34 +0530] "GET /E-Society/images/2.jpg HTTP/1.1" 404 781
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:38 +0530] "POST /E-Society/HallBookController HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:38 +0530] "GET /E-Society/admin-view-maintenance-payment.jsp HTTP/1.1" 200 11434
0:0:0:0:0:0:0:1 - - [10/May/2023:22:59:38 +0530] "GET /E-Society/images/2.jpg HTTP/1.1" 404 781
