127.0.0.1 - - [13/Apr/2023:14:53:31 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:34 +0530] "GET /E-Society/index.jsp HTTP/1.1" 200 12397
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:35 +0530] "GET /E-Society/assets/css/dropdown.css HTTP/1.1" 200 1178
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:35 +0530] "GET /E-Society/assets/css/style-starter.css HTTP/1.1" 200 294282
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:35 +0530] "GET /E-Society/assets/images/banner4.jpg HTTP/1.1" 200 136372
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:35 +0530] "GET /E-Society/assets/images/banner1.jpg HTTP/1.1" 200 158215
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:35 +0530] "GET /E-Society/assets/images/banner2.jpg HTTP/1.1" 200 210128
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:35 +0530] "GET /E-Society/assets/images/banner3.jpg HTTP/1.1" 200 84951
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:35 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:44 +0530] "GET /E-Society/admin-login.jsp HTTP/1.1" 200 2687
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:44 +0530] "GET /E-Society/admin/assets/css/style-starter.css HTTP/1.1" 200 291513
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:44 +0530] "GET /E-Society/admin/assets/fonts/fontawesome-webfont.woff2?v=4.7.0 HTTP/1.1" 200 77160
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:55 +0530] "POST /E-Society/AdminController HTTP/1.1" 200 32495
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/jquery-3.3.1.min.js HTTP/1.1" 200 69917
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/profileimg.jpg HTTP/1.1" 200 4434
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/jquery-1.10.2.min.js HTTP/1.1" 200 93107
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/logo.png HTTP/1.1" 200 358
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/Chart.min.js HTTP/1.1" 200 172812
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/utils.js HTTP/1.1" 200 3227
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/linechart.js HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/bar.js HTTP/1.1" 200 473
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/scripts.js HTTP/1.1" 200 4123
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/jquery.nicescroll.js HTTP/1.1" 200 120142
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/modernizr.js HTTP/1.1" 200 51351
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/avatar1.jpg HTTP/1.1" 200 4468
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/avatar2.jpg HTTP/1.1" 200 3538
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/avatar3.jpg HTTP/1.1" 200 2857
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/avatar5.jpg HTTP/1.1" 200 3856
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/avatar4.jpg HTTP/1.1" 200 2484
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:53:56 +0530] "GET /E-Society/admin/assets/images/Preloader_11.gif HTTP/1.1" 200 34112
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:57:51 +0530] "GET /E-Society/admin/assets/css/style-starter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:57:52 +0530] "GET /E-Society/admin/assets/js/bootstrap.min.js.map HTTP/1.1" 404 813
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:57:52 +0530] "GET /E-Society/admin/assets/css/style-starter.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Apr/2023:14:57:52 +0530] "GET /E-Society/admin/assets/css/style-starter.css.map HTTP/1.1" 404 815
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "POST /E-Society/AdminController HTTP/1.1" 200 44971
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/css/style-starter.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/jquery-3.3.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/jquery-1.10.2.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/utils.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/Chart.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/bar.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/linechart.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/jquery.nicescroll.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/images/avatar1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/js/modernizr.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/images/avatar2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/images/avatar3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/images/profileimg.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/images/avatar5.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/admin/assets/images/avatar4.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/assets/images/avatar5.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/assets/images/avatar3.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/assets/images/avatar4.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/assets/images/avatar2.jpg HTTP/1.1" 404 798
0:0:0:0:0:0:0:1 - - [13/Apr/2023:15:03:41 +0530] "GET /E-Society/assets/images/avatar1.jpg HTTP/1.1" 404 798
